currency,year,value
AUD,1999,1.5501
TRL,1999,420397.7466
SGD,1999,1.69471
KRW,1999,1189.49904
LTL,1999,4.00083
CNY,1999,8.276085
LVL,1999,0.587105
CYP,1999,0.54331
SEK,1999,8.26731
MTL,1999,0.399855
MXN,1999,9.550035
MYR,1999,3.79968
CAD,1999,1.4854
TRY,1999,0.4204
NOK,1999,7.800755
CHF,1999,1.502845
RUB,1999,24.90329
JPY,1999,113.777055
CZK,1999,34.61699
HKD,1999,7.75903
EUR,1999,0.938945
THB,1999,37.8507
SKK,1999,41.41023
HRK,1999,7.118585
HUF,1999,237.29225
ISK,1999,72.42352
EEK,1999,14.688525
DKK,1999,6.98202
ZAR,1999,6.112765
ILS,1999,4.1406
SIT,1999,182.629525
USD,1999,1.0
INR,1999,43.05052
IDR,1999,7847.176025
BRL,1999,1.81277
GBP,1999,0.618405
ROL,1999,15358.56918
PHP,1999,39.106095
PLN,1999,3.96657
NZD,1999,1.890885
RON,1999,1.535855
BGN,1999,1848.06223
ROL,2000,21671.31967
GBP,2000,0.66068
MTL,2000,0.43816
USD,2000,1.0
PHP,2000,44.24619
CHF,2000,1.688
THB,2000,40.174995
JPY,2000,107.82169
SEK,2000,9.163875
HRK,2000,8.28376
ZAR,2000,6.93845
LVL,2000,0.60594
CYP,2000,0.622535
IDR,2000,8394.460765
BGN,2000,875.309385
TRL,2000,624388.4631
ILS,2000,4.08156
LTL,2000,4.000345
EEK,2000,17.006675
HUF,2000,282.76866
CNY,2000,8.278825
SKK,2000,46.343065
SGD,2000,1.724035
KRW,2000,1130.551065
HKD,2000,7.79203
NOK,2000,8.799875
TRY,2000,0.624385
NZD,2000,2.20023
MXN,2000,9.459265
DKK,2000,8.08639
AUD,2000,1.72429
CZK,2000,38.619755
INR,2000,44.907875
RUB,2000,28.15185
EUR,2000,1.084675
SIT,2000,224.69862
RON,2000,2.16713
MYR,2000,3.79998
PLN,2000,4.34897
ISK,2000,78.854285
BRL,2000,1.829725
CAD,2000,1.48477
BGN,2001,2.17723
TRL,2001,1224727.466
ILS,2001,4.206855
SIT,2001,243.298185
IDR,2001,10261.31522
CYP,2001,0.64094
CZK,2001,38.102155
JPY,2001,121.519265
PLN,2001,4.09605
DKK,2001,8.322395
TRY,2001,1.224725
SGD,2001,1.791875
ISK,2001,97.62688
HUF,2001,286.406345
INR,2001,47.17207
EEK,2001,17.46475
MXN,2001,9.33776
BRL,2001,2.353285
GBP,2001,0.694175
NOK,2001,8.985135
RUB,2001,29.18374
HKD,2001,7.799485
EUR,2001,1.11661
NZD,2001,2.37777
CAD,2001,1.548615
MYR,2001,3.79997
AUD,2001,1.932675
SKK,2001,48.346
KRW,2001,1289.50055
MTL,2001,0.44969
USD,2001,1.0
RON,2001,2.90573
THB,2001,44.50134
CNY,2001,8.277345
PHP,2001,51.011625
HRK,2001,8.341895
LVL,2001,0.625305
LTL,2001,3.99929
SEK,2001,10.330475
CHF,2001,1.68682
ZAR,2001,8.60825
ROL,2001,29057.30658
ROL,2002,33039.61233
GBP,2002,0.66628
SKK,2002,45.26905
SIT,2002,239.82382
EEK,2002,16.59428
HUF,2002,257.726135
HRK,2002,7.839335
DKK,2002,7.883095
HKD,2002,7.798835
IDR,2002,9320.47329
AUD,2002,1.840445
ZAR,2002,10.507885
EUR,2002,1.060845
THB,2002,43.012085
TRY,2002,1.5146
SEK,2002,9.718225
LTL,2002,3.671665
ILS,2002,4.73501
PHP,2002,51.60529
LVL,2002,0.615375
CHF,2002,1.55606
MTL,2002,0.432745
TRL,2002,1514602.753
MXN,2002,9.66575
CAD,2002,1.569905
MYR,2002,3.7999
RUB,2002,31.385865
NOK,2002,7.98226
USD,2002,1.0
BRL,2002,2.919705
NZD,2002,2.16038
CNY,2002,8.27691
KRW,2002,1246.543425
PLN,2002,4.078135
RON,2002,3.303965
BGN,2002,2.06948
JPY,2002,125.19978
INR,2002,48.595185
ISK,2002,91.52526
CYP,2002,0.609835
SGD,2002,1.790385
CZK,2002,32.7123
INR,2003,46.580645
MYR,2003,3.799325
RUB,2003,30.68726
KRW,2003,1191.031645
ZAR,2003,7.55247
NOK,2003,7.077465
SKK,2003,36.72803
GBP,2003,0.612165
PLN,2003,3.885735
SIT,2003,207.261305
MXN,2003,10.79112
NZD,2003,1.72214
IDR,2003,8572.616025
MTL,2003,0.400175
ROL,2003,33209.24521
ISK,2003,76.645875
LVL,2003,0.56684
SGD,2003,1.742395
HRK,2003,6.70741
SEK,2003,8.07934
LTL,2003,3.05711
HUF,2003,224.135495
PHP,2003,54.186005
JPY,2003,115.95166
RON,2003,3.320925
HKD,2003,7.78688
ILS,2003,4.547525
USD,2003,1.0
TRL,2003,1504216.493
TRY,2003,1.504215
BRL,2003,3.07733
EUR,2003,0.88523
DKK,2003,6.577585
BGN,2003,1.72668
CNY,2003,8.27715
CYP,2003,0.516835
EEK,2003,13.8478
CAD,2003,1.40056
THB,2003,41.537655
CZK,2003,28.19316
AUD,2003,1.541235
CHF,2003,1.34486
LVL,2004,0.535165
TRL,2004,1428817.036
NZD,2004,1.50857
LTL,2004,2.779235
TRY,2004,1.42882
MTL,2004,0.351165
HRK,2004,6.036525
THB,2004,40.25693
NOK,2004,6.741045
BRL,2004,2.925205
MXN,2004,11.2882
SEK,2004,7.346815
DKK,2004,5.989
MYR,2004,3.8
IDR,2004,8936.93484
EEK,2004,12.59267
CHF,2004,1.242625
RUB,2004,28.81043
HUF,2004,202.628075
CAD,2004,1.301165
ILS,2004,4.48059
SIT,2004,192.546655
CZK,2004,25.6909
CYP,2004,0.46851
PLN,2004,3.649965
SKK,2004,32.24935
SGD,2004,1.690385
GBP,2004,0.54597
EUR,2004,0.804975
JPY,2004,108.154195
RON,2004,3.26397
INR,2004,45.270545
HKD,2004,7.788445
ROL,2004,32639.70765
ISK,2004,70.178745
KRW,2004,1146.26803
ZAR,2004,6.44079
CNY,2004,8.276795
PHP,2004,56.04836
BGN,2004,1.57416
AUD,2004,1.35941
USD,2004,1.0
DKK,2005,5.994395
ISK,2005,62.8487
LVL,2005,0.559995
CYP,2005,0.463695
MTL,2005,0.34569
ILS,2005,4.48666
CHF,2005,1.24554
TRL,2005,1347538.411
CZK,2005,23.953735
THB,2005,40.258805
JPY,2005,110.105345
SEK,2005,7.472355
CNY,2005,8.193525
LTL,2005,2.77751
KRW,2005,1024.35799
INR,2005,44.04694
IDR,2005,9710.617
HUF,2005,199.578565
BGN,2005,1.573135
HKD,2005,7.77725
ZAR,2005,6.36189
PHP,2005,55.058515
SIT,2005,192.653485
EUR,2005,0.80441
USD,2005,1.0
NZD,2005,1.42006
TRY,2005,1.34754
EEK,2005,12.585505
SKK,2005,31.04277
HRK,2005,5.95266
PLN,2005,3.23465
BRL,2005,2.433395
NOK,2005,6.441975
RUB,2005,28.287835
ROL,2005,29124.57398
MXN,2005,10.892565
GBP,2005,0.54997
SGD,2005,1.664215
RON,2005,2.912455
MYR,2005,3.786885
AUD,2005,1.311935
CAD,2005,1.21141
CYP,2006,0.458575
TRY,2006,1.43698
PLN,2006,3.103575
ISK,2006,69.90767
AUD,2006,1.328125
ROL,2006,28091.48329
JPY,2006,116.31506
CNY,2006,7.973245
MTL,2006,0.342045
PHP,2006,51.279355
TRL,2006,1436982.082
CAD,2006,1.13432
MXN,2006,10.903525
RUB,2006,27.185385
LVL,2006,0.554785
CHF,2006,1.25339
MYR,2006,3.66567
BRL,2006,2.17594
NOK,2006,6.412005
LTL,2006,2.75134
NZD,2006,1.542055
USD,2006,1.0
BGN,2006,1.55873
SEK,2006,7.37562
KRW,2006,955.117745
RON,2006,2.80915
SGD,2006,1.589095
SKK,2006,29.662285
HKD,2006,7.76835
IDR,2006,9170.608205
EUR,2006,0.796905
ZAR,2006,6.76931
HUF,2006,210.44338
ILS,2006,4.457905
SIT,2006,190.87031
CZK,2006,22.587475
INR,2006,45.24783
DKK,2006,5.94365
HRK,2006,5.837035
EEK,2006,12.46104
THB,2006,37.92412
GBP,2006,0.543465
CZK,2007,20.29443
CNY,2007,7.607195
BGN,2007,1.42929
KRW,2007,929.042085
HRK,2007,5.362595
PHP,2007,46.07758
BRL,2007,1.94821
MXN,2007,10.927655
LVL,2007,0.51158
IDR,2007,9131.740465
SEK,2007,6.756925
ILS,2007,4.109785
NOK,2007,5.860555
CHF,2007,1.20016
NZD,2007,1.36099
THB,2007,32.29187
LTL,2007,2.5233
USD,2007,1.0
EEK,2007,11.433775
RON,2007,2.437165
SKK,2007,24.68684
HKD,2007,7.8019
ZAR,2007,7.050015
AUD,2007,1.19507
GBP,2007,0.499805
HUF,2007,183.64204
EUR,2007,0.730715
CYP,2007,0.425715
INR,2007,41.349005
MTL,2007,0.313715
RUB,2007,25.576095
PLN,2007,2.76561
MYR,2007,3.43669
CAD,2007,1.07412
ROL,2007,24371.64082
SIT,2007,175.023675
JPY,2007,117.792725
TRL,2007,1306463.575
