subsector,is_stock_dependent,input_type,unit,driver_denominator_1,driver_denominator_2,driver_1,driver_2,driver_3,geography,final_energy_index,demand_technology_index,other_index_1,other_index_2,interpolation_method,extrapolation_method,extrapolation_growth,geography_map_key,source,notes,gau,oth_1,oth_2,final_energy,demand_technology,year,value,sensitivity
aviation,FALSE,total,exajoule,,,population,,,mexico,,,,,linear_interpolation,nearest,,2016 GWh,,,mx,,,jet fuel,,2015,0.11010744,REFERENCE
aviation,FALSE,total,exajoule,,,population,,,mexico,,,,,linear_interpolation,nearest,,2016 GWh,,,mx,,,jet fuel,,2020,0.123272098,REFERENCE
aviation,FALSE,total,exajoule,,,population,,,mexico,,,,,linear_interpolation,nearest,,2016 GWh,,,mx,,,jet fuel,,2030,0.147561752,REFERENCE
aviation,FALSE,total,exajoule,,,population,,,mexico,,,,,linear_interpolation,nearest,,2016 GWh,,,mx,,,jet fuel,,2040,0.169131854,REFERENCE
aviation,FALSE,total,exajoule,,,population,,,mexico,,,,,linear_interpolation,nearest,,2016 GWh,,,mx,,,jet fuel,,2050,0.187982406,REFERENCE
aviation,FALSE,total,exajoule,,,population,,,mexico,,,,,linear_interpolation,nearest,,2016 GWh,,,mx,,,jet fuel,,2015,0.11010744,MITIGATION
aviation,FALSE,total,exajoule,,,population,,,mexico,,,,,linear_interpolation,nearest,,2016 GWh,,,mx,,,jet fuel,,2020,0.123272098,MITIGATION
aviation,FALSE,total,exajoule,,,population,,,mexico,,,,,linear_interpolation,nearest,,2016 GWh,,,mx,,,jet fuel,,2030,0.147561752,MITIGATION
aviation,FALSE,total,exajoule,,,population,,,mexico,,,,,linear_interpolation,nearest,,2016 GWh,,,mx,,,jet fuel,,2040,0.169131854,MITIGATION
aviation,FALSE,total,exajoule,,,population,,,mexico,,,,,linear_interpolation,nearest,,2016 GWh,,,mx,,,jet fuel,,2050,0.187982406,MITIGATION
rail,FALSE,total,exajoule,,,population,,,mexico,,,,,linear_interpolation,nearest,,2016 GWh,,,mx,,,electricity,,2015,0.008850615,REFERENCE
rail,FALSE,total,exajoule,,,population,,,mexico,,,,,linear_interpolation,nearest,,2016 GWh,,,mx,,,electricity,,2020,0.009323448,REFERENCE
rail,FALSE,total,exajoule,,,population,,,mexico,,,,,linear_interpolation,nearest,,2016 GWh,,,mx,,,electricity,,2030,0.010162,REFERENCE
rail,FALSE,total,exajoule,,,population,,,mexico,,,,,linear_interpolation,nearest,,2016 GWh,,,mx,,,electricity,,2040,0.010862029,REFERENCE
rail,FALSE,total,exajoule,,,population,,,mexico,,,,,linear_interpolation,nearest,,2016 GWh,,,mx,,,electricity,,2050,0.011428692,REFERENCE
rail,FALSE,total,exajoule,,,population,,,mexico,,,,,linear_interpolation,nearest,,2016 GWh,,,mx,,,electricity,,2015,0.008850615,MITIGATION
rail,FALSE,total,exajoule,,,population,,,mexico,,,,,linear_interpolation,nearest,,2016 GWh,,,mx,,,electricity,,2020,0.009323448,MITIGATION
rail,FALSE,total,exajoule,,,population,,,mexico,,,,,linear_interpolation,nearest,,2016 GWh,,,mx,,,electricity,,2030,0.057951261,MITIGATION
rail,FALSE,total,exajoule,,,population,,,mexico,,,,,linear_interpolation,nearest,,2016 GWh,,,mx,,,electricity,,2040,0.091213629,MITIGATION
rail,FALSE,total,exajoule,,,population,,,mexico,,,,,linear_interpolation,nearest,,2016 GWh,,,mx,,,electricity,,2050,0.124817468,MITIGATION
rail,FALSE,total,exajoule,,,population,,,mexico,,,,,linear_interpolation,nearest,,2016 GWh,,,mx,,,coal,,2015,0,REFERENCE
rail,FALSE,total,exajoule,,,population,,,mexico,,,,,linear_interpolation,nearest,,2016 GWh,,,mx,,,coal,,2020,0,REFERENCE
rail,FALSE,total,exajoule,,,population,,,mexico,,,,,linear_interpolation,nearest,,2016 GWh,,,mx,,,coal,,2030,0,REFERENCE
rail,FALSE,total,exajoule,,,population,,,mexico,,,,,linear_interpolation,nearest,,2016 GWh,,,mx,,,coal,,2040,0,REFERENCE
rail,FALSE,total,exajoule,,,population,,,mexico,,,,,linear_interpolation,nearest,,2016 GWh,,,mx,,,coal,,2050,0,REFERENCE
rail,FALSE,total,exajoule,,,population,,,mexico,,,,,linear_interpolation,nearest,,2016 GWh,,,mx,,,coal,,2015,0,MITIGATION
rail,FALSE,total,exajoule,,,population,,,mexico,,,,,linear_interpolation,nearest,,2016 GWh,,,mx,,,coal,,2020,0,MITIGATION
rail,FALSE,total,exajoule,,,population,,,mexico,,,,,linear_interpolation,nearest,,2016 GWh,,,mx,,,coal,,2030,0,MITIGATION
rail,FALSE,total,exajoule,,,population,,,mexico,,,,,linear_interpolation,nearest,,2016 GWh,,,mx,,,coal,,2040,0,MITIGATION
rail,FALSE,total,exajoule,,,population,,,mexico,,,,,linear_interpolation,nearest,,2016 GWh,,,mx,,,coal,,2050,0,MITIGATION
rail,FALSE,total,exajoule,,,population,,,mexico,,,,,linear_interpolation,nearest,,2016 GWh,,,mx,,,diesel fuel,,2015,0.000822146,REFERENCE
rail,FALSE,total,exajoule,,,population,,,mexico,,,,,linear_interpolation,nearest,,2016 GWh,,,mx,,,diesel fuel,,2020,0.00109017,REFERENCE
rail,FALSE,total,exajoule,,,population,,,mexico,,,,,linear_interpolation,nearest,,2016 GWh,,,mx,,,diesel fuel,,2030,0.001707389,REFERENCE
rail,FALSE,total,exajoule,,,population,,,mexico,,,,,linear_interpolation,nearest,,2016 GWh,,,mx,,,diesel fuel,,2040,0.002428311,REFERENCE
rail,FALSE,total,exajoule,,,population,,,mexico,,,,,linear_interpolation,nearest,,2016 GWh,,,mx,,,diesel fuel,,2050,0.003247507,REFERENCE
rail,FALSE,total,exajoule,,,population,,,mexico,,,,,linear_interpolation,nearest,,2016 GWh,,,mx,,,diesel fuel,,2015,0.000822146,MITIGATION
rail,FALSE,total,exajoule,,,population,,,mexico,,,,,linear_interpolation,nearest,,2016 GWh,,,mx,,,diesel fuel,,2020,0.00109017,MITIGATION
rail,FALSE,total,exajoule,,,population,,,mexico,,,,,linear_interpolation,nearest,,2016 GWh,,,mx,,,diesel fuel,,2030,0.002976508,MITIGATION
rail,FALSE,total,exajoule,,,population,,,mexico,,,,,linear_interpolation,nearest,,2016 GWh,,,mx,,,diesel fuel,,2040,0.002293211,MITIGATION
rail,FALSE,total,exajoule,,,population,,,mexico,,,,,linear_interpolation,nearest,,2016 GWh,,,mx,,,diesel fuel,,2050,0,MITIGATION
residential,FALSE,total,exajoule,,,households,,,mexico,,,,,linear_interpolation,nearest,,2016 GWh,,,mx,,,electricity,,2015,0.193085564,REFERENCE
