subsector,is_stock_dependent,input_type,unit,driver_denominator_1,driver_denominator_2,driver_1,driver_2,geography,final_energy_index,demand_technology_index,other_index_1,other_index_2,interpolation_method,extrapolation_method,extrapolation_growth,geography_map_key,source,notes,gau,final_energy,demand_technology,oth_1,oth_2,year,value,sensitivity
Busses,False,total,kilometer,,,,,mexico,,,metropolitan type,passenger trip type,cubic,cubic,,,,,mx,,,Metropolitan,Constrained,2015,5953310000.0,
Busses,False,total,kilometer,,,,,mexico,,,metropolitan type,passenger trip type,cubic,cubic,,,,,mx,,,Metropolitan,Constrained,2020,5204150000.0,
Busses,False,total,kilometer,,,,,mexico,,,metropolitan type,passenger trip type,cubic,cubic,,,,,mx,,,Metropolitan,Constrained,2030,4938020000.0,
Busses,False,total,kilometer,,,,,mexico,,,metropolitan type,passenger trip type,cubic,cubic,,,,,mx,,,Metropolitan,Constrained,2040,4700780000.0,
Busses,False,total,kilometer,,,,,mexico,,,metropolitan type,passenger trip type,cubic,cubic,,,,,mx,,,Metropolitan,Constrained,2050,4755380000.0,
Busses,False,total,kilometer,,,,,mexico,,,metropolitan type,passenger trip type,cubic,cubic,,,,,mx,,,Metropolitan,Non-constrained,2015,3669190000.0,
Busses,False,total,kilometer,,,,,mexico,,,metropolitan type,passenger trip type,cubic,cubic,,,,,mx,,,Metropolitan,Non-constrained,2020,3960460000.0,
Busses,False,total,kilometer,,,,,mexico,,,metropolitan type,passenger trip type,cubic,cubic,,,,,mx,,,Metropolitan,Non-constrained,2030,4396280000.0,
Busses,False,total,kilometer,,,,,mexico,,,metropolitan type,passenger trip type,cubic,cubic,,,,,mx,,,Metropolitan,Non-constrained,2040,4766020000.0,
Busses,False,total,kilometer,,,,,mexico,,,metropolitan type,passenger trip type,cubic,cubic,,,,,mx,,,Metropolitan,Non-constrained,2050,5062020000.0,
Busses,False,total,kilometer,,,,,mexico,,,metropolitan type,passenger trip type,cubic,cubic,,,,,mx,,,Non-metropolitan,Constrained,2015,3248570000.0,
Busses,False,total,kilometer,,,,,mexico,,,metropolitan type,passenger trip type,cubic,cubic,,,,,mx,,,Non-metropolitan,Constrained,2020,2874540000.0,
Busses,False,total,kilometer,,,,,mexico,,,metropolitan type,passenger trip type,cubic,cubic,,,,,mx,,,Non-metropolitan,Constrained,2030,2753430000.0,
Busses,False,total,kilometer,,,,,mexico,,,metropolitan type,passenger trip type,cubic,cubic,,,,,mx,,,Non-metropolitan,Constrained,2040,2637590000.0,
Busses,False,total,kilometer,,,,,mexico,,,metropolitan type,passenger trip type,cubic,cubic,,,,,mx,,,Non-metropolitan,Constrained,2050,2678980000.0,
Busses,False,total,kilometer,,,,,mexico,,,metropolitan type,passenger trip type,cubic,cubic,,,,,mx,,,Non-metropolitan,Non-constrained,2015,5736890000.0,
Busses,False,total,kilometer,,,,,mexico,,,metropolitan type,passenger trip type,cubic,cubic,,,,,mx,,,Non-metropolitan,Non-constrained,2020,6185890000.0,
Busses,False,total,kilometer,,,,,mexico,,,metropolitan type,passenger trip type,cubic,cubic,,,,,mx,,,Non-metropolitan,Non-constrained,2030,6855950000.0,
Busses,False,total,kilometer,,,,,mexico,,,metropolitan type,passenger trip type,cubic,cubic,,,,,mx,,,Non-metropolitan,Non-constrained,2040,7424880000.0,
Busses,False,total,kilometer,,,,,mexico,,,metropolitan type,passenger trip type,cubic,cubic,,,,,mx,,,Non-metropolitan,Non-constrained,2050,7880930000.0,
