name,linked,stock_link_ratio,subsector,min_lifetime,max_lifetime,source,additional_description,demand_tech_unit_type,unit,time_unit,cost_of_capital,stock_decay_function,mean_lifetime,lifetime_variance,shape,max_lead_hours,max_lag_hours
Autonomous Electric Light-Duty Auto,,,Light-duty vehicle,2.0,4.0,,,equipment,car,,,weibull,,,,,
Autonomous Electric Light-Duty Truck,,,light duty trucks (placeholder),2.0,4.0,,,equipment,truck,,,weibull,,,,,
Battery Electric Medium-Duty Vehicle,,,medium duty (placeholder),10.0,20.0,NREL ADOPT Model,Updated on 2017-04-21 as part of the NREL project,equipment,truck,,,weibull,18.3,5.0,,,
CNG Light-Duty Auto,,,Light-duty vehicle,10.0,20.0,"AEO 2015; National Academies Press, Transition to Alternative Vehicles and Fuels",,equipment,car,,,weibull,,,,,
CNG Light-Duty Truck,,,light duty trucks (placeholder),10.0,20.0,"National Academies Press, Transition to Alternative Vehicles and Fuels",,equipment,truck,,,weibull,,,,,
CNG Transit bus,,,Busses,8.0,12.0,NREL ADOPT Model,"Updated on 2017-04-21 as part of the NREL project, bus lifecycle https://ntl.bts.gov/lib/44000/44200/44244/Bus_Lifecycle_Cost_Model_User_s_Guide.pdf",equipment,bus,,,weibull,,,,,
Diesel - Electric Hybrid Light-Duty Auto,,,Light-duty vehicle,10.0,20.0,"AEO 2015; National Academies Press, Transition to Alternative Vehicles and Fuels",,equipment,car,,,weibull,,,,,
Diesel Hybrid Heavy-Duty Vehicle,,,heavy duty trucks (placeholder),10.0,20.0,NPC Advancing Technology for America's Transportation study,,equipment,truck,,,weibull,,,,,
Diesel Transit bus,,,Busses,8.0,12.0,NREL ADOPT Model,"Updated on 2017-04-21 as part of the NREL project, bus lifecycle https://ntl.bts.gov/lib/44000/44200/44244/Bus_Lifecycle_Cost_Model_User_s_Guide.pdf",equipment,bus,,,weibull,,,,,
Electric - Diesel Hybrid Light-Duty Truck,,,light duty trucks (placeholder),10.0,20.0,"National Academies Press, Transition to Alternative Vehicles and Fuels",,equipment,truck,,,weibull,,,,,
Electric - Gasoline Hybrid Light-Duty Truck,,,light duty trucks (placeholder),10.0,20.0,"AEO 2015; National Academies Press, Transition to Alternative Vehicles and Fuels",,equipment,truck,,,weibull,,,,,
Electric 2 or 3 Wheeler,,,Two & three wheelers,7.0,14.0,,,equipment,vehicle,,,weibull,,,,,
Electric Heavy Duty Vehicle,,,heavy duty trucks (placeholder),10.0,20.0,NREL ADOPT Model,Updated on 2017-04-21 as part of the NREL project,equipment,truck,,,weibull,,,,,
Electric Light-Duty Auto - 100 mile range,,,Light-duty vehicle,10.0,20.0,NREL ADOPT Model,Updated on 2017-04-21 as part of the NREL project,equipment,car,,,weibull,,,,,
Electric Light-Duty Auto - 200 mile range,,,Light-duty vehicle,10.0,20.0,NREL ADOPT Model,"Updated on 2017-04-21 as part of the NREL project and replaced the origional ""Electric Light-Duty Auto""",equipment,car,,,weibull,,,,,
Electric Light-Duty Auto - 300 mile range,,,Light-duty vehicle,10.0,20.0,NREL ADOPT Model,Updated on 2017-04-21 as part of the NREL project,equipment,car,,,weibull,,,,,
Electric Light-Duty Truck - 100 mile range,,,light duty trucks (placeholder),10.0,20.0,NREL ADOPT Model,Updated on 2017-04-21 as part of the NREL project,equipment,truck,,,weibull,,,,,
Electric Light-Duty Truck - 200 mile range,,,light duty trucks (placeholder),10.0,20.0,NREL ADOPT Model,"Updated on 2017-04-21 as part of the NREL project and replaced the origional ""Electric Light-Duty Truck""",equipment,truck,,,weibull,,,,,
Electric Light-Duty Truck - 300 mile range,,,light duty trucks (placeholder),10.0,20.0,NREL ADOPT Model,Updated on 2017-04-21 as part of the NREL project,equipment,truck,,,weibull,,,,,
Electric Semi-Truck,,,heavy duty trucks (placeholder),10.0,20.0,Press Announcements; https://insideevs.com/tesla-semi-truck-battery-is-how-big/,,equipment,truck,,,weibull,,,,,
Electric Transit bus,,,Busses,8.0,12.0,NREL ADOPT Model,"Updated on 2017-04-21 as part of the NREL project, bus lifecycle https://ntl.bts.gov/lib/44000/44200/44244/Bus_Lifecycle_Cost_Model_User_s_Guide.pdf",equipment,bus,,,weibull,,,,,
Gasoline 2 or 3 Wheeler,,,Two & three wheelers,7.0,14.0,,,equipment,vehicle,,,weibull,,,,,
