demand_technology,geography,other_index_1,other_index_2,interpolation_method,extrapolation_method,extrapolation_growth,age_growth_or_decay_type,age_growth_or_decay,source,notes,gau,oth_1,oth_2,vintage,value,sensitivity
Autonomous Electric Light-Duty Auto,mexico,,,linear_interpolation,nearest,,exponential,-0.03,,,mx,,,2015,5,
Autonomous Electric Light-Duty Truck,mexico,,,linear_interpolation,nearest,,exponential,-0.04,,,mx,,,2015,5,
Battery Electric Medium-Duty Vehicle,mexico,,,linear_interpolation,nearest,,exponential,-0.08,,,mx,,,2015,1,
CNG Light-Duty Auto,mexico,,,linear_interpolation,nearest,,exponential,-0.03,,,mx,,,2015,1,
CNG Light-Duty Truck,mexico,,,linear_interpolation,nearest,,exponential,-0.04,,,mx,,,2015,1,
Diesel - Electric Hybrid Light-Duty Auto,mexico,,,linear_interpolation,nearest,,exponential,-0.03,,,mx,,,2015,1,
Diesel Hybrid Heavy-Duty Vehicle,mexico,,,linear_interpolation,nearest,,exponential,-0.1,,,mx,,,2015,1,
Electric - Diesel Hybrid Light-Duty Truck,mexico,,,linear_interpolation,nearest,,exponential,-0.04,,,mx,,,2015,1,
Electric - Gasoline Hybrid Light-Duty Truck,mexico,,,linear_interpolation,nearest,,exponential,-0.04,,,mx,,,2015,1,
Electric Heavy Duty Vehicle,mexico,,,linear_interpolation,nearest,,exponential,-0.1,,,mx,,,2015,1,
Electric Light-Duty Auto - 100 mile range,mexico,,,linear_interpolation,nearest,,exponential,-0.03,,,mx,,,2015,1,
Electric Light-Duty Auto - 200 mile range,mexico,,,linear_interpolation,nearest,,exponential,-0.03,,,mx,,,2015,1,
Electric Light-Duty Auto - 300 mile range,mexico,,,linear_interpolation,nearest,,exponential,-0.03,,,mx,,,2015,1,
Electric Light-Duty Truck - 100 mile range,mexico,,,linear_interpolation,nearest,,exponential,-0.04,,,mx,,,2015,1,
Electric Light-Duty Truck - 200 mile range,mexico,,,linear_interpolation,nearest,,exponential,-0.04,,,mx,,,2015,1,
Electric Light-Duty Truck - 300 mile range,mexico,,,linear_interpolation,nearest,,exponential,-0.04,,,mx,,,2015,1,
Electric Semi-Truck,mexico,,,linear_interpolation,nearest,,exponential,-0.1,,,mx,,,2015,1,
Gasoline-Electric Hybrid Light-Duty Auto,mexico,,,linear_interpolation,nearest,,exponential,-0.03,,,mx,,,2015,1,
Hybrid CNG Medium-Duty Vehicle,mexico,,,linear_interpolation,nearest,,exponential,-0.08,,,mx,,,2015,1,
Hybrid Diesel Medium-Duty Vehicle,mexico,,,linear_interpolation,nearest,,exponential,-0.08,,,mx,,,2015,1,
Hybrid Gasoline Medium-Duty Vehicle,mexico,,,linear_interpolation,nearest,,exponential,-0.08,,,mx,,,2015,1,
Hydrogen FCV Heavy-Duty Vehicle,mexico,,,linear_interpolation,nearest,,exponential,-0.1,,,mx,,,2015,1,
Hydrogen Fuel Cell Medium-Duty Vehicle,mexico,,,linear_interpolation,nearest,,exponential,-0.08,,,mx,,,2015,1,
Hydrogen Fuel-Cell Light-Duty Auto,mexico,,,linear_interpolation,nearest,,exponential,-0.03,,,mx,,,2015,1,
Hydrogen Fuel-Cell Light-Duty Truck,mexico,,,linear_interpolation,nearest,,exponential,-0.04,,,mx,,,2015,1,
LNG Heavy-Duty Vehicle,mexico,,,linear_interpolation,nearest,,exponential,-0.1,,,mx,,,2015,1,
LNG Hybrid Heavy-Duty Vehicle,mexico,,,linear_interpolation,nearest,,exponential,-0.1,,,mx,,,2015,1,
PHEV - 25 mile range - Light Duty Auto,mexico,,,linear_interpolation,nearest,,exponential,-0.03,,,mx,,,2015,1,
PHEV - 50 mile range - Light Duty Auto,mexico,,,linear_interpolation,nearest,,exponential,-0.03,,,mx,,,2015,1,
PHEV - Gasoline - 25 mile range - Light Duty Truck,mexico,,,linear_interpolation,nearest,,exponential,-0.04,,,mx,,,2015,1,
PHEV - Gasoline - 50 mile range - Light Duty Truck,mexico,,,linear_interpolation,nearest,,exponential,-0.04,,,mx,,,2015,1,
Propane ICE Light-Duty Auto,mexico,,,linear_interpolation,nearest,,exponential,-0.03,,,mx,,,2015,1,
Propane ICE Light-Duty Truck,mexico,,,linear_interpolation,nearest,,exponential,-0.04,,,mx,,,2015,1,
Reference Diesel Heavy-Duty Vehicle,mexico,,,linear_interpolation,nearest,,exponential,-0.1,,,mx,,,2015,1,
Reference Flex Fuel Light-Duty Auto,mexico,,,linear_interpolation,nearest,,exponential,-0.03,,,mx,,,2015,1,
Reference Flex-Fuel Light-Duty Truck,mexico,,,linear_interpolation,nearest,,exponential,-0.04,,,mx,,,2015,1,
Reference Gasoline Heavy-Duty Vehicle,mexico,,,linear_interpolation,nearest,,exponential,-0.1,,,mx,,,2015,1,
Reference Gasoline Light-Duty Auto,mexico,,,linear_interpolation,nearest,,exponential,-0.03,,,mx,,,2015,1,
Reference Gasoline Light-Duty Truck,mexico,,,linear_interpolation,nearest,,exponential,-0.04,,,mx,,,2015,1,
Reference LPG Medium-Duty Vehicle,mexico,,,linear_interpolation,nearest,,exponential,-0.08,,,mx,,,2015,1,
Reference Medium - Duty Diesel Vehicle,mexico,,,linear_interpolation,nearest,,exponential,-0.08,,,mx,,,2015,1,
Reference Medium-Duty CNG Vehicle,mexico,,,linear_interpolation,nearest,,exponential,-0.08,,,mx,,,2015,1,
Reference Medium-Duty Gasoline Vehicle,mexico,,,linear_interpolation,nearest,,exponential,-0.08,,,mx,,,2015,1,
Reference Propane Heavy-Duty Vehicle,mexico,,,linear_interpolation,nearest,,exponential,-0.1,,,mx,,,2015,1,
Reference TDI Light-Duty Auto,mexico,,,linear_interpolation,nearest,,exponential,-0.03,,,mx,,,2015,1,
Reference TDI Light-Duty Truck,mexico,,,linear_interpolation,nearest,,exponential,-0.04,,,mx,,,2015,1,
