name,currency,currency_year,capacity_or_energy_unit,interpolation_method,extrapolation_method,time_unit,geography_map_key,is_levelized,lifetime,cost_incremental,cost_of_capital,source,notes,gau_from,gau_to,year,value,sensitivity
aggregated egrid,USD,2018,kilowatt,linear_interpolation,nearest,,,FALSE,40,TRUE,0.06,Nems Inputs File,aznm - spso,Desert Southwest agg.,Lower Midwest agg.,2018,4650.68,
aggregated egrid,USD,2018,kilowatt,linear_interpolation,nearest,,,FALSE,40,TRUE,0.06,Nems Inputs File,aznm - rmpa,Desert Southwest agg.,Rocky Mountains agg.,2018,1034.47,
aggregated egrid,USD,2018,kilowatt,linear_interpolation,nearest,,,FALSE,40,TRUE,0.06,Nems Inputs File,azm - camx,Desert Southwest agg.,California agg.,2018,2024.73,
aggregated egrid,USD,2018,kilowatt,linear_interpolation,nearest,,,FALSE,40,TRUE,0.06,Nems Inputs File,camx - nwpp,California agg.,Pacific Northwest agg.,2018,1788.21,
aggregated egrid,USD,2018,kilowatt,linear_interpolation,nearest,,,FALSE,40,TRUE,0.06,Nems Inputs File,aznm - ercot,Desert Southwest agg.,Texas agg.,2018,4175.45,
aggregated egrid,USD,2018,kilowatt,linear_interpolation,nearest,,,FALSE,40,TRUE,0.06,Nems Inputs File,erct - spso,Texas agg.,Lower Midwest agg.,2018,1878.84,
aggregated egrid,USD,2018,kilowatt,linear_interpolation,nearest,,,FALSE,40,TRUE,0.06,Nems Inputs File,erct - srmv,Texas agg.,Louisiana and Ozarks agg.,2018,3037.09,
aggregated egrid,USD,2018,kilowatt,linear_interpolation,nearest,,,FALSE,40,TRUE,0.06,Nems Inputs File,fl00 - srso,Florida agg.,Southeast agg.,2018,824.48,
aggregated egrid,USD,2018,kilowatt,linear_interpolation,nearest,,,FALSE,40,TRUE,0.06,Nems Inputs File,mrow - srmw,Upper Midwest agg.,Louisiana and Ozarks agg.,2018,811.22,
aggregated egrid,USD,2018,kilowatt,linear_interpolation,nearest,,,FALSE,40,TRUE,0.06,Nems Inputs File,mrow-rfcw,Upper Midwest agg.,Mid-Atlantic and Great Lakes agg.,2018,1461.07,
aggregated egrid,USD,2018,kilowatt,linear_interpolation,nearest,,,FALSE,40,TRUE,0.06,Nems Inputs File,ne00 - nycw,New England agg.,New York agg.,2018,775.85,
aggregated egrid,USD,2018,kilowatt,linear_interpolation,nearest,,,FALSE,40,TRUE,0.06,Nems Inputs File,nwpp -rmpa,Pacific Northwest agg.,Rocky Mountains agg.,2018,2084.41,
aggregated egrid,USD,2018,kilowatt,linear_interpolation,nearest,,,FALSE,40,TRUE,0.06,Nems Inputs File,nyup - rfce,New York agg.,Mid-Atlantic and Great Lakes agg.,2018,550.34,
aggregated egrid,USD,2018,kilowatt,linear_interpolation,nearest,,,FALSE,40,TRUE,0.06,Nems Inputs File,rfce - srvc,Mid-Atlantic and Great Lakes agg.,Southeast agg.,2018,890.8,
aggregated egrid,USD,2018,kilowatt,linear_interpolation,nearest,,,FALSE,40,TRUE,0.06,Nems Inputs File,rfcw-srmw,Mid-Atlantic and Great Lakes agg.,Louisiana and Ozarks agg.,2018,875.318,
aggregated egrid,USD,2018,kilowatt,linear_interpolation,nearest,,,FALSE,40,TRUE,0.06,Nems Inputs File,spso-srmw,Lower Midwest agg.,Louisiana and Ozarks agg.,2018,795.85,
aggregated egrid,USD,2018,kilowatt,linear_interpolation,nearest,,,FALSE,40,TRUE,0.06,Nems Inputs File,srmv - srtv,Southeast agg.,Louisiana and Ozarks agg.,2018,826.7,
aggregated egrid,USD,2018,kilowatt,linear_interpolation,nearest,,,FALSE,40,TRUE,0.06,Nems Inputs File,aznm-rmpa,Desert Southwest agg.,Utah/Nevada agg.,2018,1034.5,
aggregated egrid,USD,2018,kilowatt,linear_interpolation,nearest,,,FALSE,40,TRUE,0.06,Nems Inputs File,camx - nwpp,California agg.,Utah/Nevada agg.,2018,1788.2136,
