parent,gau_from,gau_to,year,month,hour,day_type,value,sensitivity
test HQ,new york,us,2015,,,,0.03,
aggregated egrid,CAMX_agg,AZNM_agg,2015,,,,0.03,
aggregated egrid,AZNM_agg,SP_agg,2015,,,,0.03,
aggregated egrid,AZNM_agg,RMPA_agg,2015,,,,0.03,
aggregated egrid,AZNM_agg,NWPP_agg,2015,,,,0.03,
aggregated egrid,AZNM_agg,CAMX_agg,2015,,,,0.03,
test egrid,NYLI,NYUP,2015,,,,0.03,
test egrid,NYLI,RFCE,2015,,,,0.03,
test egrid,NYLI,NYCW,2015,,,,0.03,
test egrid,NYLI,NEWE,2015,,,,0.03,
test egrid,ERCT,SPSO,2015,,,,0.03,
test egrid,NYUP,NYLI,2015,,,,0.03,
test egrid,NYUP,RFCE,2015,,,,0.03,
test egrid,NYUP,NYCW,2015,,,,0.03,
test HQ,new york,new england,2015,,,,0.03,
test egrid,NYUP,NEWE,2015,,,,0.03,
test egrid,SPNO,SRMW (SRGW),2015,,,,0.03,
test egrid,SPNO,MROW,2015,,,,0.03,
test egrid,SPNO,SRMV (SRDA),2015,,,,0.03,
test egrid,SPNO,SPSO,2015,,,,0.03,
test egrid,SPNO,RMPA,2015,,,,0.03,
test egrid,SRMW (SRGW),SPNO,2015,,,,0.03,
test egrid,SRMW (SRGW),RFCW,2015,,,,0.03,
test egrid,SRMW (SRGW),MROW,2015,,,,0.03,
test egrid,SRMW (SRGW),SRMV (SRDA),2015,,,,0.03,
test egrid,SRMW (SRGW),SRTV (SRCE),2015,,,,0.03,
test egrid,RFCW,RFCM,2015,,,,0.03,
test egrid,RFCW,SRMW (SRGW),2015,,,,0.03,
test egrid,RFCW,MROW,2015,,,,0.03,
test egrid,RFCM,RFCW,2015,,,,0.03,
test egrid,RFCW,MROE,2015,,,,0.03,
aggregated egrid,CAMX_agg,NWPP_agg,2015,,,,0.03,
aggregated egrid,FRCC_agg,SR_agg,2015,,,,0.03,
aggregated egrid,SR_agg,SP_agg,2015,,,,0.03,
aggregated egrid,SR_agg,RFC_agg,2015,,,,0.03,
