import_node,source,notes,geography,currency,currency_year,denominator_unit,interpolation_method,extrapolation_method,extrapolation_growth,gau,demand_sector,year,value,sensitivity
Coal Product,,,mexico,USD,2015,mmBtu,linear_interpolation,decay_towards_linear_regression,,mx,,2016,1.8124812030000002,
Coal Product,,,mexico,USD,2015,mmBtu,linear_interpolation,decay_towards_linear_regression,,mx,,2017,2.5210285619999997,
Coal Product,,,mexico,USD,2015,mmBtu,linear_interpolation,decay_towards_linear_regression,,mx,,2018,2.8370620989999997,
Coal Product,,,mexico,USD,2015,mmBtu,linear_interpolation,decay_towards_linear_regression,,mx,,2019,2.917300458,
Coal Product,,,mexico,USD,2015,mmBtu,linear_interpolation,decay_towards_linear_regression,,mx,,2020,3.182369413,
Coal Product,,,mexico,USD,2015,mmBtu,linear_interpolation,decay_towards_linear_regression,,mx,,2021,3.2680504839999998,
Coal Product,,,mexico,USD,2015,mmBtu,linear_interpolation,decay_towards_linear_regression,,mx,,2022,3.284759527,
Coal Product,,,mexico,USD,2015,mmBtu,linear_interpolation,decay_towards_linear_regression,,mx,,2023,3.319265091,
Coal Product,,,mexico,USD,2015,mmBtu,linear_interpolation,decay_towards_linear_regression,,mx,,2024,3.3361610089999996,
Coal Product,,,mexico,USD,2015,mmBtu,linear_interpolation,decay_towards_linear_regression,,mx,,2025,3.35310429,
Coal Product,,,mexico,USD,2015,mmBtu,linear_interpolation,decay_towards_linear_regression,,mx,,2026,3.3789430769999997,
Coal Product,,,mexico,USD,2015,mmBtu,linear_interpolation,decay_towards_linear_regression,,mx,,2027,3.37878594,
Coal Product,,,mexico,USD,2015,mmBtu,linear_interpolation,decay_towards_linear_regression,,mx,,2028,3.3958735069999997,
Coal Product,,,mexico,USD,2015,mmBtu,linear_interpolation,decay_towards_linear_regression,,mx,,2029,3.4128847089999996,
Coal Product,,,mexico,USD,2015,mmBtu,linear_interpolation,decay_towards_linear_regression,,mx,,2030,3.4300031160000004,
Petroleum Coke Product,,,mexico,USD,2015,boe,linear_interpolation,decay_towards_linear_regression,,mx,,2016,36.0672826,
Petroleum Coke Product,,,mexico,USD,2015,boe,linear_interpolation,decay_towards_linear_regression,,mx,,2017,50.20085514,
Petroleum Coke Product,,,mexico,USD,2015,boe,linear_interpolation,decay_towards_linear_regression,,mx,,2018,53.44499229,
Petroleum Coke Product,,,mexico,USD,2015,boe,linear_interpolation,decay_towards_linear_regression,,mx,,2019,56.35623601,
Petroleum Coke Product,,,mexico,USD,2015,boe,linear_interpolation,decay_towards_linear_regression,,mx,,2020,58.09724842,
