primary_node,geography,other_index_1,currency,currency_year,denominator_unit,interpolation_method,extrapolation_method,extrapolation_growth,source,notes,gau,demand_sector,oth_1,resource_bin,year,value,sensitivity
Natural Gas Primary,mexico,,USD,2015,mmBtu,linear_interpolation,decay_towards_linear_regression,,,,mx,,,,2016,3.192707146,
Natural Gas Primary,mexico,,USD,2015,mmBtu,linear_interpolation,decay_towards_linear_regression,,,,mx,,,,2017,3.8424474230000003,
Natural Gas Primary,mexico,,USD,2015,mmBtu,linear_interpolation,decay_towards_linear_regression,,,,mx,,,,2018,4.045084257,
Natural Gas Primary,mexico,,USD,2015,mmBtu,linear_interpolation,decay_towards_linear_regression,,,,mx,,,,2019,3.639927011,
Natural Gas Primary,mexico,,USD,2015,mmBtu,linear_interpolation,decay_towards_linear_regression,,,,mx,,,,2020,4.15164701,
Natural Gas Primary,mexico,,USD,2015,mmBtu,linear_interpolation,decay_towards_linear_regression,,,,mx,,,,2021,4.24565922,
Natural Gas Primary,mexico,,USD,2015,mmBtu,linear_interpolation,decay_towards_linear_regression,,,,mx,,,,2022,4.339670995,
Natural Gas Primary,mexico,,USD,2015,mmBtu,linear_interpolation,decay_towards_linear_regression,,,,mx,,,,2023,4.386676883,
Natural Gas Primary,mexico,,USD,2015,mmBtu,linear_interpolation,decay_towards_linear_regression,,,,mx,,,,2024,4.433683205,
Natural Gas Primary,mexico,,USD,2015,mmBtu,linear_interpolation,decay_towards_linear_regression,,,,mx,,,,2025,4.4806890930000005,
Natural Gas Primary,mexico,,USD,2015,mmBtu,linear_interpolation,decay_towards_linear_regression,,,,mx,,,,2026,4.527695415,
Natural Gas Primary,mexico,,USD,2015,mmBtu,linear_interpolation,decay_towards_linear_regression,,,,mx,,,,2027,4.574701738,
Natural Gas Primary,mexico,,USD,2015,mmBtu,linear_interpolation,decay_towards_linear_regression,,,,mx,,,,2028,4.62170719,
Natural Gas Primary,mexico,,USD,2015,mmBtu,linear_interpolation,decay_towards_linear_regression,,,,mx,,,,2029,4.668713513,
Natural Gas Primary,mexico,,USD,2015,mmBtu,linear_interpolation,decay_towards_linear_regression,,,,mx,,,,2030,4.715719401,
Oil Primary,mexico,,USD,2015,boe,linear_interpolation,decay_towards_linear_regression,,,,mx,,,,2016,36.0672826,
Oil Primary,mexico,,USD,2015,boe,linear_interpolation,decay_towards_linear_regression,,,,mx,,,,2017,50.20085514,
Oil Primary,mexico,,USD,2015,boe,linear_interpolation,decay_towards_linear_regression,,,,mx,,,,2018,53.44499229,
Oil Primary,mexico,,USD,2015,boe,linear_interpolation,decay_towards_linear_regression,,,,mx,,,,2019,56.35623601,
Oil Primary,mexico,,USD,2015,boe,linear_interpolation,decay_towards_linear_regression,,,,mx,,,,2020,58.09724842,
Oil Primary,mexico,,USD,2015,boe,linear_interpolation,decay_towards_linear_regression,,,,mx,,,,2021,59.41010789,
Oil Primary,mexico,,USD,2015,boe,linear_interpolation,decay_towards_linear_regression,,,,mx,,,,2022,60.64544455,
Oil Primary,mexico,,USD,2015,boe,linear_interpolation,decay_towards_linear_regression,,,,mx,,,,2023,61.89331927,
Oil Primary,mexico,,USD,2015,boe,linear_interpolation,decay_towards_linear_regression,,,,mx,,,,2024,63.00123958,
Oil Primary,mexico,,USD,2015,boe,linear_interpolation,decay_towards_linear_regression,,,,mx,,,,2025,63.92415907,
Oil Primary,mexico,,USD,2015,boe,linear_interpolation,decay_towards_linear_regression,,,,mx,,,,2026,65.26508719,
Oil Primary,mexico,,USD,2015,boe,linear_interpolation,decay_towards_linear_regression,,,,mx,,,,2027,66.50720485,
Oil Primary,mexico,,USD,2015,boe,linear_interpolation,decay_towards_linear_regression,,,,mx,,,,2028,67.83695208,
Oil Primary,mexico,,USD,2015,boe,linear_interpolation,decay_towards_linear_regression,,,,mx,,,,2029,69.18767636,
Oil Primary,mexico,,USD,2015,boe,linear_interpolation,decay_towards_linear_regression,,,,mx,,,,2030,70.50256856,
