supply_node,geography,other_index_1,mass_unit,denominator_unit,interpolation_method,extrapolation_method,extrapolation_growth,source,notes,gau,demand_sector,oth_1,ghg_type,ghg,year,value,sensitivity
Biomass Primary - Domestic Corn,mexico,,kilogram,mmBtu,linear_interpolation,nearest,,,,mx,,,physical,CO2,2015,93.8,
Biomass Primary - Domestic Corn,mexico,,kilogram,mmBtu,linear_interpolation,nearest,,,,mx,,,accounting,CO2,2015,-93.8,
Biomass Primary - Domestic Lipid,mexico,,kilogram,mmBtu,linear_interpolation,nearest,,,,mx,,,physical,CO2,2015,93.8,
Biomass Primary - Domestic Lipid,mexico,,kilogram,mmBtu,linear_interpolation,nearest,,,,mx,,,accounting,CO2,2015,-93.8,
Biomass Primary - Domestic Manure,mexico,,kilogram,mmBtu,linear_interpolation,nearest,,,,mx,,,physical,CO2,2015,93.8,
Biomass Primary - Domestic Manure,mexico,,kilogram,mmBtu,linear_interpolation,nearest,,,,mx,,,accounting,CO2,2015,-93.8,
Biomass Primary - Domestic Non-Corn Cellulosic,mexico,,kilogram,mmBtu,linear_interpolation,nearest,,,,mx,,,physical,CO2,2015,93.8,
Biomass Primary - Domestic Non-Corn Cellulosic,mexico,,kilogram,mmBtu,linear_interpolation,nearest,,,,mx,,,accounting,CO2,2015,-93.8,
Biomass Primary - Domestic Pulping Liquors,mexico,,kilogram,mmBtu,linear_interpolation,nearest,,,,mx,,,accounting,CO2,2015,-93.8,
Biomass Primary - Domestic Pulping Liquors,mexico,,kilogram,mmBtu,linear_interpolation,nearest,,,,mx,,,physical,CO2,2015,93.8,
Biomass Primary - Domestic Wood,mexico,,kilogram,mmBtu,linear_interpolation,nearest,,,,mx,,,physical,CO2,2015,93.8,
Biomass Primary - Domestic Wood,mexico,,kilogram,mmBtu,linear_interpolation,nearest,,,,mx,,,accounting,CO2,2015,-93.8,
Coal Primary,mexico,,kilogram,mmBtu,linear_interpolation,nearest,,,,mx,,,physical,CO2,2015,95.52,
Coke Product,mexico,,kilogram,mmBtu,linear_interpolation,nearest,,EPA Fuel Emissions Factors,,mx,,,physical,CO2,2015,93.71,
Natural Gas Primary,mexico,,kilogram,mmBtu,linear_interpolation,nearest,,,,mx,,,physical,CO2,2015,53.06,
Oil Primary,mexico,,kilogram,mmBtu,linear_interpolation,nearest,,,,mx,,,physical,CO2,2015,74.54,
Other Petroleum Import,mexico,,kilogram,mmBtu,linear_interpolation,nearest,,EPA Fuel Emissions Factors,used diesel fuel as proxy,mx,,,physical,CO2,2015,62.28,
Petroleum Coke Product,mexico,,metric_ton,teraBtu,linear_interpolation,nearest,,AEO Fuel Emissions Factor,based on full combustion,mx,,,physical,CO2,2015,102.12,
Power-to-Gas Production Facilities,mexico,,kilogram,mmBtu,linear_interpolation,nearest,,,,mx,,,physical,CO2,2015,53.06,
Power-to-Gas Production Facilities,mexico,,kilogram,mmBtu,linear_interpolation,nearest,,,,mx,,,accounting,CO2,2015,-53.06,
Refined Fossil Diesel Product,mexico,,kilogram,mmBtu,linear_interpolation,nearest,,EPA Fuel Emissions Factors,,mx,,,physical,CO2,2015,73.15,
Refined Fossil Gasoline Product,mexico,,kilogram,mmBtu,linear_interpolation,nearest,,EPA Fuel Emissions Factors,,mx,,,physical,CO2,2015,70.22,
Refined Fossil Jet Fuel Product,mexico,,kilogram,mmBtu,linear_interpolation,nearest,,EPA Fuel Emissions Factors,,mx,,,physical,CO2,2015,72.31,
Refined Fossil Kerosene Product,mexico,,kilogram,mmBtu,linear_interpolation,nearest,,EPA Fuel Emissions Factors,,mx,,,physical,CO2,2015,75.61,
Refined Fossil LPG Product,mexico,,kilogram,mmBtu,linear_interpolation,nearest,,EPA Fuel Emissions Factors,unspecified lpg,mx,,,physical,CO2,2015,70.88,
Residual Fossil Fuel Oil Product,mexico,,kilogram,mmBtu,linear_interpolation,nearest,,EPA Fuel Emissions Factors,,mx,,,physical,CO2,2015,64.2,
