supply_node,geography,capacity_or_energy_unit,time_unit,interpolation_method,extrapolation_method,extrapolation_growth,geography_map_key,source,notes,gau,demand_sector,supply_technology,resource_bin,year,value,sensitivity
Biomass Power Plants,mexico,megawatt,,linear_interpolation,none,,,,,mx,,municipal solid waste power plant,,2000.0,702.8,
Biomass Power Plants,mexico,megawatt,,linear_interpolation,none,,,,,mx,,municipal solid waste power plant,,2001.0,702.8,
Biomass Power Plants,mexico,megawatt,,linear_interpolation,none,,,,,mx,,municipal solid waste power plant,,2002.0,702.8,
Biomass Power Plants,mexico,megawatt,,linear_interpolation,none,,,,,mx,,municipal solid waste power plant,,2003.0,702.8,
Biomass Power Plants,mexico,megawatt,,linear_interpolation,none,,,,,mx,,municipal solid waste power plant,,2004.0,702.8,
Biomass Power Plants,mexico,megawatt,,linear_interpolation,none,,,,,mx,,municipal solid waste power plant,,2005.0,702.8,
Biomass Power Plants,mexico,megawatt,,linear_interpolation,none,,,,,mx,,municipal solid waste power plant,,2006.0,702.8,
Biomass Power Plants,mexico,megawatt,,linear_interpolation,none,,,,,mx,,municipal solid waste power plant,,2007.0,702.8,
Biomass Power Plants,mexico,megawatt,,linear_interpolation,none,,,,,mx,,municipal solid waste power plant,,2009.0,702.8,
Biomass Power Plants,mexico,megawatt,,linear_interpolation,none,,,,,mx,,municipal solid waste power plant,,2010.0,702.8,
Biomass Power Plants,mexico,megawatt,,linear_interpolation,none,,,,,mx,,municipal solid waste power plant,,2012.0,702.8,
Biomass Power Plants,mexico,megawatt,,linear_interpolation,none,,,,,mx,,municipal solid waste power plant,,2013.0,702.8,
Biomass Power Plants,mexico,megawatt,,linear_interpolation,none,,,,,mx,,municipal solid waste power plant,,2014.0,702.8,
Biomass Power Plants,mexico,megawatt,,linear_interpolation,none,,,,,mx,,municipal solid waste power plant,,2015.0,702.8,
Biomass Power Plants,mexico,megawatt,,linear_interpolation,none,,,,,mx,,municipal solid waste power plant,,2016.0,703.55,
Coal Power Plants,mexico,megawatt,,linear_interpolation,none,,,,,mx,,pulverized coal power plant,,1982.0,1200.0,
Coal Power Plants,mexico,megawatt,,linear_interpolation,none,,,,,mx,,pulverized coal power plant,,1985.0,1200.0,
Coal Power Plants,mexico,megawatt,,linear_interpolation,none,,,,,mx,,pulverized coal power plant,,1986.0,1200.0,
Coal Power Plants,mexico,megawatt,,linear_interpolation,none,,,,,mx,,pulverized coal power plant,,1987.0,1200.0,
Coal Power Plants,mexico,megawatt,,linear_interpolation,none,,,,,mx,,pulverized coal power plant,,1989.0,1200.0,
Coal Power Plants,mexico,megawatt,,linear_interpolation,none,,,,,mx,,pulverized coal power plant,,1990.0,1200.0,
