supply_tech,definition,geography,reference_tech_id,interpolation_method,extrapolation_method,extrapolation_growth,age_growth_or_decay_type,age_growth_or_decay,source,notes,gau,resource_bin,vintage,value
Fast-pyrolysis bio-diesel plant w/ccs,absolute,mexico,,linear_interpolation,nearest,,,,,,mx,,2015,0.9
Fischer-Tropsch bio-diesel plant w/ccs,absolute,mexico,,linear_interpolation,nearest,,,,,,mx,,2015,0.9
H2 Natural Gas Reformation w/ccs,absolute,mexico,,linear_interpolation,nearest,,,,,,mx,,2015,0.9
Hydroprocessed Renewable Oil  Plant w/ccs,absolute,mexico,,linear_interpolation,nearest,,,,,,mx,,2015,0.9
Hydrothermal liquefaction and hydrotreating w/ccs,absolute,mexico,,linear_interpolation,nearest,,,,,,mx,,2015,0.9
biomass cogen IPP power plant w/ccs,absolute,mexico,,linear_interpolation,nearest,,,,,,mx,,2015,0.9
biomass cogen power plant w/ccs,absolute,mexico,,linear_interpolation,nearest,,,,,,mx,,2015,0.9
coal IGCC with CCS power plant,absolute,mexico,,linear_interpolation,nearest,,,,,,mx,,2015,0.9
coal steam turbine IPP cogen power plant w/ccs,absolute,mexico,,linear_interpolation,nearest,,,,,,mx,,2015,0.9
coal steam turbine cogen power plant w/ccs,absolute,mexico,,linear_interpolation,nearest,,,,,,mx,,2015,0.9
coal steam turbine power plant with CCS,absolute,mexico,,linear_interpolation,nearest,,,,,,mx,,2015,0.9
distillate oil combustion turbine IPP cogen power plant w/ccs,absolute,mexico,,linear_interpolation,nearest,,,,,,mx,,2015,0.9
distillate oil combustion turbine cogen power plant w/ccs,absolute,mexico,,linear_interpolation,nearest,,,,,,mx,,2015,0.9
fossil waste steam turbine cogen power plant w/ccs,absolute,mexico,,linear_interpolation,nearest,,,,,,mx,,2015,0.9
gas combined cycle IPP cogen power plant w/ccs,absolute,mexico,,linear_interpolation,nearest,,,,,,mx,,2015,0.9
gas combined cycle cogen power plant w/ccs,absolute,mexico,,linear_interpolation,nearest,,,,,,mx,,2015,0.9
gas combined cycle power plant with CCS,absolute,mexico,,linear_interpolation,nearest,,,,,,mx,,2015,0.9
gas combustion turbine IPP cogen power plant w/ccs,absolute,mexico,,linear_interpolation,nearest,,,,,,mx,,2015,0.9
gas combustion turbine cogen power plant w/ccs,absolute,mexico,,linear_interpolation,nearest,,,,,,mx,,2015,0.9
gas steam turbine IPP cogen power plant w/ccs,absolute,mexico,,linear_interpolation,nearest,,,,,,mx,,2015,0.9
gas steam turbine cogen power plant w/ccs,absolute,mexico,,linear_interpolation,nearest,,,,,,mx,,2015,0.9
landfill gas cogen power plant w/ccs,absolute,mexico,,linear_interpolation,nearest,,,,,,mx,,2015,0.9
lignocellulosic anaerobic digester w/ccs,absolute,mexico,,linear_interpolation,nearest,,,,,,mx,,2015,0.9
municipal solid waste cogen power plant w/ccs,absolute,mexico,,linear_interpolation,nearest,,,,,,mx,,2015,0.9
petroleum coke steam turbine cogen power plant w/ccs,absolute,mexico,,linear_interpolation,nearest,,,,,,mx,,2015,0.9
residual oil combustion turbine IPP cogen power plant w/ccs,absolute,mexico,,linear_interpolation,nearest,,,,,,mx,,2015,0.9
residual oil steam turbine cogen power plant w/ccs,absolute,mexico,,linear_interpolation,nearest,,,,,,mx,,2015,0.9
thermal biomass gasifier w/ccs,absolute,mexico,,linear_interpolation,nearest,,,,,,mx,,2015,0.9
