supply_tech,geography,reference_tech_id,definition,interpolation_method,extrapolation_method,extrapolation_growth,age_growth_or_decay_type,age_growth_or_decay,source,notes,gau,oth_1,resource_bin,vintage,value,sensitivity
Advanced Nuclear Plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,2015.0,0.9,
Diesel ICE,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,2000.0,0.7,
Fuel Oil ICE,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,2000.0,0.7,
Fuel Oil ICE,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,2001.0,0.7,
Gas ICE,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,2000.0,0.7,
H2 Natural Gas Reformation ,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,2015.0,0.9,
H2 Natural Gas Reformation w/ccs,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,2015.0,0.9,
Onshore wind power plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,2.0,2015.0,0.27,
Onshore wind power plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,1.0,2015.0,0.35,
Onshore wind power plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,3.0,2015.0,0.2,
Relicensed Nuclear Power Plants,mexico,25.0,relative,,,,,,,,,,,,,
Wave Power Plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,2015.0,0.22,
biomass cogen power plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,2015.0,0.8,
biomass cogen power plant w/ccs,mexico,57.0,relative,,,,,,,,,,,,,
biomass power plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,2015.0,0.9,
central hydrogen grid electrolysis,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,2015.0,0.25,
coal IGCC power plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,2015.0,0.7,
coal steam turbine IPP cogen power plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,2015.0,0.65,
coal steam turbine IPP cogen power plant w/ccs,mexico,67.0,relative,,,,,,,,,,,,,
coal steam turbine cogen power plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,2015.0,0.55,
coal steam turbine cogen power plant w/ccs,mexico,51.0,relative,,,,,,,,,,,,,
coal steam turbine power plant with CCS,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,2015.0,0.9,
distillate oil combustion turbine IPP cogen power plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,2015.0,0.65,
distillate oil combustion turbine IPP cogen power plant w/ccs,mexico,72.0,relative,,,,,,,,,,,,,
distillate oil combustion turbine cogen power plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,2015.0,0.35,
distillate oil combustion turbine cogen power plant w/ccs,mexico,62.0,relative,,,,,,,,,,,,,
distillate oil combustion turbine power plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,1969.0,0.8531,
distillate oil combustion turbine power plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,2000.0,0.8531,
distillate oil combustion turbine power plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,2003.0,0.8531,
distillate oil steam turbine power plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,2000.0,0.815,
distllate oil steam turbine cogen power plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,2015.0,0.35,
distribution-sited solar PV power plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,2015.0,0.2,
fossil waste steam turbine cogen power plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,2015.0,0.35,
fossil waste steam turbine cogen power plant w/ccs,mexico,56.0,relative,,,,,,,,,,,,,
gas cogen composite power plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,2015.0,0.7,
gas combined cycle IPP cogen power plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,2015.0,0.65,
gas combined cycle IPP cogen power plant w/ccs,mexico,68.0,relative,,,,,,,,,,,,,
gas combined cycle cogen power plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,2015.0,0.7,
gas combined cycle cogen power plant w/ccs,mexico,53.0,relative,,,,,,,,,,,,,
gas combined cycle power plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,1974.0,0.8535,
gas combined cycle power plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,1981.0,0.8535,
gas combined cycle power plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,1989.0,0.8535,
gas combined cycle power plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,1998.0,0.8535,
gas combined cycle power plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,2000.0,0.8535,
gas combined cycle power plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,2001.0,0.8535,
gas combined cycle power plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,2002.0,0.8535,
gas combined cycle power plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,2003.0,0.8535,
gas combined cycle power plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,2004.0,0.8535,
gas combined cycle power plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,2005.0,0.8535,
gas combined cycle power plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,2006.0,0.8535,
gas combined cycle power plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,2007.0,0.8535,
gas combined cycle power plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,2010.0,0.8535,
gas combined cycle power plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,2014.0,0.8535,
gas combined cycle power plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,2015.0,0.8535,
gas combined cycle power plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,2016.0,0.8535,
gas combined cycle power plant with CCS,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,2015.0,0.9,
gas combustion turbine IPP cogen power plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,2015.0,0.65,
gas combustion turbine IPP cogen power plant w/ccs,mexico,69.0,relative,,,,,,,,,,,,,
gas combustion turbine cogen power plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,2015.0,0.7,
gas combustion turbine cogen power plant w/ccs,mexico,61.0,relative,,,,,,,,,,,,,
gas combustion turbine power plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,1970.0,0.8531,
gas combustion turbine power plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,1971.0,0.8531,
gas combustion turbine power plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,1972.0,0.8531,
gas combustion turbine power plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,1975.0,0.8531,
gas combustion turbine power plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,1998.0,0.8531,
gas combustion turbine power plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,1999.0,0.8531,
gas combustion turbine power plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,2000.0,0.8531,
gas combustion turbine power plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,2005.0,0.8531,
gas combustion turbine power plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,2014.0,0.8531,
gas steam turbine cogen power plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,2000.0,0.8,
gas steam turbine cogen power plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,2014.0,0.8,
gas steam turbine cogen power plant w/ccs,mexico,54.0,relative,,,,,,,,,,,,,
gas steam turbine power plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,2000.0,0.815,
gas steam turbine power plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,2004.0,0.815,
gas steam turbine power plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,2016.0,0.815,
geothermal power plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,2015.0,0.7,
landfill gas cogen power plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,2015.0,0.35,
landfill gas cogen power plant w/ccs,mexico,58.0,relative,,,,,,,,,,,,,
large hydro power plant,mexico,,absolute,linear_interpolation,decay_towards_linear_regression,,,,,,mx,,,2015.0,0.278,
municipal solid waste cogen power plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,2015.0,0.55,
municipal solid waste cogen power plant w/ccs,mexico,59.0,relative,,,,,,,,,,,,,
municipal solid waste power plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,2000.0,0.814315789,
