supply_tech,capacity_or_energy,definition,reference_tech,geography,currency,currency_year,cost_of_capital,capacity_or_energy_unit,time_unit,is_levelized,interpolation_method,extrapolation_method,extrapolation_growth,source,notes,geography_map_key,new_or_replacement,gau,demand_sector,resource_bin,vintage,value,sensitivity
Advanced Nuclear Plant,capacity,absolute,,mexico,USD,2014.0,,kilowatt,,False,linear_interpolation,nearest,,,,,new,mx,,,2014.0,6223.22,
Advanced Nuclear Plant,capacity,absolute,,mexico,USD,2014.0,,kilowatt,,False,linear_interpolation,nearest,,,,,new,mx,,,2015.0,6105.31,
Advanced Nuclear Plant,capacity,absolute,,mexico,USD,2014.0,,kilowatt,,False,linear_interpolation,nearest,,,,,new,mx,,,2016.0,6035.96,
Advanced Nuclear Plant,capacity,absolute,,mexico,USD,2014.0,,kilowatt,,False,linear_interpolation,nearest,,,,,new,mx,,,2017.0,5876.73,
Advanced Nuclear Plant,capacity,absolute,,mexico,USD,2014.0,,kilowatt,,False,linear_interpolation,nearest,,,,,new,mx,,,2018.0,5765.82,
Advanced Nuclear Plant,capacity,absolute,,mexico,USD,2014.0,,kilowatt,,False,linear_interpolation,nearest,,,,,new,mx,,,2019.0,5666.38,
Advanced Nuclear Plant,capacity,absolute,,mexico,USD,2014.0,,kilowatt,,False,linear_interpolation,nearest,,,,,new,mx,,,2020.0,5566.74,
Advanced Nuclear Plant,capacity,absolute,,mexico,USD,2014.0,,kilowatt,,False,linear_interpolation,nearest,,,,,new,mx,,,2021.0,5472.36,
Advanced Nuclear Plant,capacity,absolute,,mexico,USD,2014.0,,kilowatt,,False,linear_interpolation,nearest,,,,,new,mx,,,2022.0,5446.59,
Advanced Nuclear Plant,capacity,absolute,,mexico,USD,2014.0,,kilowatt,,False,linear_interpolation,nearest,,,,,new,mx,,,2023.0,5414.72,
Advanced Nuclear Plant,capacity,absolute,,mexico,USD,2014.0,,kilowatt,,False,linear_interpolation,nearest,,,,,new,mx,,,2024.0,5387.56,
Advanced Nuclear Plant,capacity,absolute,,mexico,USD,2014.0,,kilowatt,,False,linear_interpolation,nearest,,,,,new,mx,,,2025.0,5359.19,
Advanced Nuclear Plant,capacity,absolute,,mexico,USD,2014.0,,kilowatt,,False,linear_interpolation,nearest,,,,,new,mx,,,2026.0,5332.46,
Advanced Nuclear Plant,capacity,absolute,,mexico,USD,2014.0,,kilowatt,,False,linear_interpolation,nearest,,,,,new,mx,,,2027.0,5307.9,
Advanced Nuclear Plant,capacity,absolute,,mexico,USD,2014.0,,kilowatt,,False,linear_interpolation,nearest,,,,,new,mx,,,2028.0,5280.28,
Advanced Nuclear Plant,capacity,absolute,,mexico,USD,2014.0,,kilowatt,,False,linear_interpolation,nearest,,,,,new,mx,,,2029.0,5253.64,
Advanced Nuclear Plant,capacity,absolute,,mexico,USD,2014.0,,kilowatt,,False,linear_interpolation,nearest,,,,,new,mx,,,2030.0,5225.43,
Advanced Nuclear Plant,capacity,absolute,,mexico,USD,2014.0,,kilowatt,,False,linear_interpolation,nearest,,,,,new,mx,,,2031.0,5193.25,
Advanced Nuclear Plant,capacity,absolute,,mexico,USD,2014.0,,kilowatt,,False,linear_interpolation,nearest,,,,,new,mx,,,2032.0,5149.03,
Advanced Nuclear Plant,capacity,absolute,,mexico,USD,2014.0,,kilowatt,,False,linear_interpolation,nearest,,,,,new,mx,,,2033.0,5120.22,
Advanced Nuclear Plant,capacity,absolute,,mexico,USD,2014.0,,kilowatt,,False,linear_interpolation,nearest,,,,,new,mx,,,2034.0,5093.71,
Advanced Nuclear Plant,capacity,absolute,,mexico,USD,2014.0,,kilowatt,,False,linear_interpolation,nearest,,,,,new,mx,,,2035.0,5061.06,
Advanced Nuclear Plant,capacity,absolute,,mexico,USD,2014.0,,kilowatt,,False,linear_interpolation,nearest,,,,,new,mx,,,2036.0,5023.13,
Advanced Nuclear Plant,capacity,absolute,,mexico,USD,2014.0,,kilowatt,,False,linear_interpolation,nearest,,,,,new,mx,,,2037.0,4980.51,
Advanced Nuclear Plant,capacity,absolute,,mexico,USD,2014.0,,kilowatt,,False,linear_interpolation,nearest,,,,,new,mx,,,2038.0,4944.68,
Advanced Nuclear Plant,capacity,absolute,,mexico,USD,2014.0,,kilowatt,,False,linear_interpolation,nearest,,,,,new,mx,,,2039.0,4918.32,
Advanced Nuclear Plant,capacity,absolute,,mexico,USD,2014.0,,kilowatt,,False,linear_interpolation,nearest,,,,,new,mx,,,2040.0,4859.3,
Advanced Nuclear Plant,capacity,absolute,,mexico,USD,2014.0,,kilowatt,,False,linear_interpolation,nearest,,,,,new,mx,,,2041.0,4822.69,
Advanced Nuclear Plant,capacity,absolute,,mexico,USD,2014.0,,kilowatt,,False,linear_interpolation,nearest,,,,,new,mx,,,2042.0,4786.08,
Advanced Nuclear Plant,capacity,absolute,,mexico,USD,2014.0,,kilowatt,,False,linear_interpolation,nearest,,,,,new,mx,,,2043.0,4749.47,
Advanced Nuclear Plant,capacity,absolute,,mexico,USD,2014.0,,kilowatt,,False,linear_interpolation,nearest,,,,,new,mx,,,2044.0,4712.86,
Advanced Nuclear Plant,capacity,absolute,,mexico,USD,2014.0,,kilowatt,,False,linear_interpolation,nearest,,,,,new,mx,,,2045.0,4676.24,
Advanced Nuclear Plant,capacity,absolute,,mexico,USD,2014.0,,kilowatt,,False,linear_interpolation,nearest,,,,,new,mx,,,2046.0,4639.63,
Advanced Nuclear Plant,capacity,absolute,,mexico,USD,2014.0,,kilowatt,,False,linear_interpolation,nearest,,,,,new,mx,,,2047.0,4603.02,
Advanced Nuclear Plant,capacity,absolute,,mexico,USD,2014.0,,kilowatt,,False,linear_interpolation,nearest,,,,,new,mx,,,2048.0,4566.41,
Advanced Nuclear Plant,capacity,absolute,,mexico,USD,2014.0,,kilowatt,,False,linear_interpolation,nearest,,,,,new,mx,,,2049.0,4529.8,
Advanced Nuclear Plant,capacity,absolute,,mexico,USD,2014.0,,kilowatt,,False,linear_interpolation,nearest,,,,,new,mx,,,2050.0,4493.18,
Corn Ethanol Plant,capacity,absolute,,mexico,USD,2013.0,,bee,day,False,linear_interpolation,nearest,,,,,new,mx,,,2015.0,18500.0,
Electrode Boiler,capacity,absolute,,mexico,EUR,2014.0,,megawatt,,False,linear_interpolation,nearest,,,,,new,mx,,,2015.0,90000.0,
Fast-pyrolysis bio-diesel plant,capacity,absolute,,mexico,USD,2010.0,,US_gde,year,False,linear_interpolation,nearest,,,nth plant capital costs,,new,mx,,,2010.0,3.43,
Fast-pyrolysis bio-diesel plant w/ccs,capacity,absolute,,mexico,USD,2010.0,,US_gde,year,False,linear_interpolation,nearest,,,nth plant capital costs,,new,mx,,,2010.0,3.43,
Fischer-Tropsch bio-diesel plant,capacity,absolute,,mexico,USD,2007.0,,US_gge,year,False,linear_interpolation,nearest,,,Includes all capital investment except indirect (assumed to be installation costs),,new,mx,,,2007.0,14.532,
Fischer-Tropsch bio-diesel plant w/ccs,capacity,absolute,,mexico,USD,2007.0,,US_gge,year,False,linear_interpolation,nearest,,,Includes all capital investment except indirect (assumed to be installation costs),,new,mx,,,2007.0,14.532,
H2 Natural Gas Reformation ,capacity,absolute,,mexico,USD,2007.0,,h2_kilogram,day,False,linear_interpolation,nearest,,,,,new,mx,,,2010.0,568.9,
H2 Natural Gas Reformation ,capacity,absolute,,mexico,USD,2007.0,,h2_kilogram,day,False,linear_interpolation,nearest,,,,,new,mx,,,2025.0,427.01,
H2 Natural Gas Reformation w/ccs,capacity,absolute,,mexico,USD,2007.0,,h2_kilogram,day,False,linear_interpolation,nearest,,,,,new,mx,,,2010.0,1063.0,
H2 Natural Gas Reformation w/ccs,capacity,absolute,,mexico,USD,2007.0,,h2_kilogram,day,False,linear_interpolation,nearest,,,,,new,mx,,,2025.0,894.0,
Hydroprocessed Renewable Oil  Plant,capacity,absolute,,mexico,USD,2011.0,,jet_fuel_gallon,year,False,linear_interpolation,nearest,,,"53, 625 gallons per year of jet fuel",,new,mx,,,2015.0,4.194,
Hydroprocessed Renewable Oil  Plant w/ccs,capacity,absolute,,mexico,USD,2011.0,,jet_fuel_gallon,year,False,linear_interpolation,nearest,,,"53, 625 gallons per year of jet fuel",,new,mx,,,2015.0,4.194,
Hydrothermal liquefaction and hydrotreating,capacity,absolute,,mexico,USD,2009.0,,gigajoule,hour,False,linear_interpolation,nearest,,,based on a plant size of 214 gigajoules-diesel per hour,,new,mx,,,2009.0,1141588.785,
Hydrothermal liquefaction and hydrotreating w/ccs,capacity,absolute,,mexico,USD,2009.0,,gigajoule,hour,False,linear_interpolation,nearest,,,based on a plant size of 214 gigajoules-diesel per hour,,new,mx,,,2009.0,1141588.785,
Industrial Coal Boiler,capacity,absolute,,mexico,EUR,1999.0,,gigajoule,year,False,linear_interpolation,nearest,,,,,new,mx,,,2010.0,10.2,
Industrial Distillate Fuel Oil Boiler,capacity,relative,,,,,,,,,,,,,,,,,,,,,
Industrial LPG Boiler,capacity,relative,,,,,,,,,,,,,,,,,,,,,
