supply_tech,geography,definition,reference_tech_id,input_unit,output_unit,interpolation_method,extrapolation_method,extrapolation_growth,age_growth_or_decay_type,age_growth_or_decay,source,notes,supply_node,efficiency_type,gau,demand_sector,resource_bin,vintage,value
Advanced Nuclear Plant,mexico,absolute,,Btu,kilowatt_hour,linear_interpolation,nearest,,,,,,Uranium Import,consumed,mx,,,2010.0,10479.0
Corn Ethanol Plant,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,AEO Liquid Fuels Module,,Biomass Primary - Domestic Corn,consumed,mx,,,2015.0,0.511
Corn Ethanol Plant,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,AEO Liquid Fuels Module,,Gas Transmission Pipeline,consumed,mx,,,2015.0,0.4461
Corn Ethanol Plant,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,AEO Liquid Fuels Module,,Biomass Primary - Domestic Corn,not consumed,mx,,,2015.0,0.725
Corn Ethanol Plant,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,AEO Liquid Fuels Module,,Coal Product,consumed,mx,,,2015.0,0.16802
Diesel ICE,mexico,absolute,,gigajoule,megawatt_hour,linear_interpolation,nearest,,,,,,Diesel Blend,consumed,mx,,,2000.0,11.83580822
Diesel ICE,mexico,absolute,,gigajoule,megawatt_hour,linear_interpolation,nearest,,,,,,Diesel Blend,consumed,mx,,,2016.0,8.002
Diesel ICE,mexico,absolute,,gigajoule,megawatt_hour,linear_interpolation,nearest,,,,,,Diesel Blend,consumed,mx,,,2031.0,9.905333333
Electrode Boiler,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Electricity Distribution Grid,consumed,mx,,,2015.0,1.01
Fast-pyrolysis bio-diesel plant,mexico,absolute,,mmBtu,mmBtu,linear_interpolation,nearest,,,,,ignores produced bio-char,Biomass Primary - Domestic Non-Corn Cellulosic,leaked,mx,,,2015.0,0.303
Fast-pyrolysis bio-diesel plant,mexico,absolute,,mmBtu,mmBtu,linear_interpolation,nearest,,,,,ignores produced bio-char,Biomass Primary - Domestic Non-Corn Cellulosic,not consumed,mx,,,2015.0,1.0
Fast-pyrolysis bio-diesel plant,mexico,absolute,,mmBtu,mmBtu,linear_interpolation,nearest,,,,,ignores produced bio-char,Biomass Primary - Domestic Non-Corn Cellulosic,consumed,mx,,,2015.0,0.212
Fast-pyrolysis bio-diesel plant,mexico,absolute,,mmBtu,mmBtu,linear_interpolation,nearest,,,,,ignores produced bio-char,Electricity Transmission Grid,consumed,mx,,,2015.0,0.01
Fast-pyrolysis bio-diesel plant,mexico,absolute,,mmBtu,mmBtu,linear_interpolation,nearest,,,,,ignores produced bio-char,Gas Transmission Pipeline,consumed,mx,,,2015.0,-0.06
Fast-pyrolysis bio-diesel plant,mexico,absolute,,mmBtu,mmBtu,linear_interpolation,nearest,,,,,ignores produced bio-char,Liquid Hydrogen Truck Delivery,consumed,mx,,,2015.0,0.2
Fast-pyrolysis bio-diesel plant w/ccs,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Electricity Transmission Grid,consumed,mx,,,2015.0,0.01
Fast-pyrolysis bio-diesel plant w/ccs,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Biomass Primary - Domestic Non-Corn Cellulosic,not consumed,mx,,,2015.0,1.0
Fast-pyrolysis bio-diesel plant w/ccs,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Liquid Hydrogen Truck Delivery,consumed,mx,,,2015.0,0.2
Fast-pyrolysis bio-diesel plant w/ccs,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Biomass Primary - Domestic Non-Corn Cellulosic,leaked,mx,,,2015.0,0.303
Fast-pyrolysis bio-diesel plant w/ccs,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Gas Transmission Pipeline,consumed,mx,,,2015.0,-0.024812842
